transaction_id,amount,time,location,device,is_new_user,transaction_type,prev_transactions,avg_amount,is_night,Class
T93,88323,19,Delhi,Tablet,0,NetBanking,49,3846,0,0
T94,35295,0,Delhi,Mobile,0,UPI,50,3598,1,0
T95,97956,0,Kolkata,Tablet,0,NetBanking,42,4480,1,0
T96,86127,13,Hyderabad,Mobile,0,NetBanking,34,2874,0,0
T97,93108,7,Mumbai,Laptop,0,UPI,73,1725,0,0
T98,76897,1,Delhi,Mobile,0,NetBanking,6,3367,1,0
T99,82845,20,Hyderabad,Tablet,0,NetBanking,74,512,0,0
T100,7643,3,Kolkata,Laptop,0,UPI,35,3565,1,0
T101,38856,8,Hyderabad,Mobile,0,Card,98,1222,0,0
T102,86099,3,Mumbai,Laptop,0,Card,95,1787,1,0
T103,88826,4,Delhi,Tablet,0,Card,54,2426,1,0
T104,68550,8,Bangalore,Laptop,0,UPI,61,695,0,0
T105,47059,21,Delhi,Tablet,0,UPI,18,495,0,0
T106,64032,8,Bangalore,Mobile,1,UPI,8,2602,0,0
T107,59263,13,Bangalore,Laptop,0,Card,51,3677,0,0
T108,5586,15,Mumbai,Mobile,0,NetBanking,98,4591,0,0
T109,89212,19,Delhi,Mobile,0,Card,99,3736,0,0
T110,60666,15,Hyderabad,Tablet,0,Card,52,3082,0,0
T111,88561,4,Kolkata,Laptop,0,UPI,92,4430,1,0
T112,90030,17,Mumbai,Laptop,1,UPI,8,1053,0,0
T113,72692,5,Delhi,Tablet,0,NetBanking,12,1291,1,0
T114,39181,8,Hyderabad,Tablet,1,NetBanking,65,1640,0,0
T115,88192,4,Delhi,Mobile,0,UPI,7,1488,1,0
T116,26532,21,Kolkata,Tablet,1,NetBanking,70,4412,0,0
T117,1424,3,Kolkata,Laptop,0,NetBanking,30,1910,1,0
T118,72224,11,Hyderabad,Mobile,0,Card,90,813,0,0
T119,55229,18,Bangalore,Mobile,0,Card,66,4368,0,0
T120,4848,17,Hyderabad,Mobile,0,UPI,57,555,0,0
T121,13216,8,Bangalore,Mobile,0,NetBanking,2,2096,0,0
T122,80319,16,Bangalore,Laptop,0,NetBanking,32,233,0,0
T123,67741,11,Hyderabad,Mobile,1,NetBanking,44,1952,0,0
T124,20659,21,Kolkata,Laptop,1,NetBanking,35,1350,0,0
T125,30454,19,Delhi,Laptop,0,NetBanking,46,1356,0,0
T126,52628,13,Bangalore,Laptop,0,NetBanking,0,1496,0,0
T127,68966,15,Kolkata,Laptop,0,NetBanking,74,1453,0,0
T128,11075,15,Hyderabad,Tablet,1,Card,75,767,0,0
T129,29803,3,Kolkata,Tablet,0,UPI,57,639,1,0
T130,27455,4,Kolkata,Laptop,1,NetBanking,63,2608,1,0
T131,35647,15,Mumbai,Mobile,0,NetBanking,45,3424,0,0
T132,45545,17,Bangalore,Mobile,0,Card,68,1938,0,0
T133,75772,1,Kolkata,Laptop,0,Card,29,1115,1,0
T134,61913,0,Bangalore,Mobile,0,Card,48,4258,1,0
T135,62780,21,Kolkata,Laptop,1,UPI,48,4100,0,0
T136,18117,8,Hyderabad,Mobile,0,UPI,0,504,0,0
T137,41043,22,Kolkata,Mobile,1,NetBanking,80,2856,0,0
T138,98242,4,Mumbai,Tablet,1,NetBanking,52,3736,1,1
T139,11016,9,Bangalore,Laptop,1,Card,16,2148,0,0
T140,45206,12,Delhi,Mobile,0,UPI,61,4644,0,0
T141,37844,7,Delhi,Laptop,0,UPI,91,1674,0,0
T142,14589,1,Kolkata,Mobile,0,UPI,2,4062,1,0
T143,32149,11,Mumbai,Mobile,1,NetBanking,4,3137,0,0
T144,24385,16,Delhi,Tablet,0,Card,46,3378,0,0
T145,1352,20,Hyderabad,Mobile,0,UPI,74,4630,0,0
T146,59594,5,Mumbai,Tablet,0,UPI,97,1429,1,0
T147,55493,17,Hyderabad,Laptop,0,UPI,90,2582,0,0
T148,61986,1,Mumbai,Tablet,0,UPI,37,1458,1,0
T149,70273,22,Mumbai,Tablet,0,Card,80,2280,0,0
T150,39911,9,Mumbai,Mobile,1,UPI,73,2932,0,0
T151,20063,19,Delhi,Laptop,0,NetBanking,33,4400,0,0
T152,36686,10,Bangalore,Tablet,0,Card,22,3545,0,0
T153,22515,7,Hyderabad,Laptop,0,NetBanking,3,1819,0,0
T154,41340,2,Bangalore,Laptop,1,Card,26,4288,1,0
T155,75797,18,Bangalore,Tablet,0,UPI,4,4799,0,0
T156,36768,21,Mumbai,Tablet,0,Card,0,623,0,0
T157,18877,13,Kolkata,Laptop,0,Card,77,1853,0,0
T158,81918,8,Hyderabad,Mobile,0,UPI,46,2361,0,0
T159,10578,23,Hyderabad,Laptop,1,UPI,62,4243,1,0
T160,52896,16,Bangalore,Tablet,0,NetBanking,0,2155,0,0
T161,79814,19,Hyderabad,Tablet,0,UPI,55,4921,0,0
T162,8817,22,Mumbai,Tablet,0,UPI,1,464,0,0
T163,4721,23,Bangalore,Tablet,0,NetBanking,2,1746,1,0
T164,82938,13,Mumbai,Laptop,0,Card,17,2006,0,0
T165,35954,22,Kolkata,Laptop,0,NetBanking,73,1162,0,0
T166,50548,6,Delhi,Mobile,0,Card,43,4732,0,0
T167,3696,19,Bangalore,Laptop,0,NetBanking,9,166,0,0
T168,82252,12,Hyderabad,Mobile,0,UPI,99,4306,0,0
T169,26169,1,Delhi,Laptop,0,Card,39,2572,1,0
T170,60104,5,Bangalore,Tablet,1,NetBanking,63,1861,1,1
T171,75803,12,Hyderabad,Mobile,0,NetBanking,32,1560,0,0
T172,27385,20,Bangalore,Laptop,0,NetBanking,3,3521,0,0
T173,56238,23,Mumbai,Tablet,1,UPI,2,342,1,1
T174,4424,3,Delhi,Laptop,1,Card,5,567,1,0
T175,79679,10,Hyderabad,Laptop,1,Card,5,217,0,0
T176,84571,5,Bangalore,Mobile,0,NetBanking,56,4389,1,0
T177,946,10,Hyderabad,Laptop,0,UPI,50,1241,0,0
T178,64423,18,Bangalore,Mobile,0,UPI,19,4308,0,0
T179,67684,13,Delhi,Mobile,0,Card,36,2017,0,0
T180,20718,3,Mumbai,Mobile,0,Card,2,3844,1,0
T181,59483,9,Mumbai,Tablet,0,NetBanking,9,2319,0,0
T182,39909,12,Kolkata,Mobile,0,Card,83,420,0,0
T183,1442,4,Delhi,Laptop,0,Card,8,2094,1,0
T184,93170,23,Hyderabad,Laptop,0,Card,34,3777,1,0
T185,42178,16,Hyderabad,Laptop,1,NetBanking,59,335,0,0
T186,43029,13,Mumbai,Tablet,1,UPI,74,2735,0,0
T187,73798,2,Delhi,Tablet,1,NetBanking,63,3065,1,1
T188,6051,7,Mumbai,Mobile,1,Card,13,1414,0,0
T189,86840,4,Hyderabad,Laptop,1,UPI,77,2721,1,1
T190,20711,12,Mumbai,Laptop,0,Card,17,2443,0,0
T191,59307,6,Mumbai,Mobile,0,UPI,31,3862,0,0
T192,73440,5,Bangalore,Tablet,0,UPI,62,2290,1,0
T193,9284,16,Mumbai,Tablet,1,Card,65,2097,0,0
T194,36555,7,Bangalore,Tablet,0,UPI,50,297,0,0
T195,55017,2,Hyderabad,Laptop,0,UPI,71,2135,1,0
T196,25153,6,Mumbai,Laptop,0,Card,28,2697,0,0
T197,97820,0,Delhi,Tablet,0,NetBanking,26,1050,1,0
T198,2436,3,Hyderabad,Tablet,0,Card,9,4712,1,0
T199,43972,21,Mumbai,Mobile,1,UPI,30,3328,0,0
T200,20203,4,Bangalore,Tablet,0,Card,67,2991,1,0
T201,3856,1,Mumbai,Tablet,0,UPI,35,893,1,0
T202,71415,10,Mumbai,Laptop,1,NetBanking,37,3305,0,0
T203,13099,22,Delhi,Laptop,0,UPI,45,462,0,0
T204,2543,12,Bangalore,Laptop,0,UPI,81,1084,0,0
T205,15428,14,Kolkata,Laptop,0,UPI,42,3631,0,0
T206,40015,3,Kolkata,Mobile,1,Card,4,3035,1,0
T207,53128,7,Mumbai,Tablet,0,NetBanking,91,3549,0,0
T208,55276,21,Kolkata,Laptop,0,Card,77,3467,0,0
T209,69004,21,Kolkata,Laptop,1,NetBanking,0,2961,0,0
T210,22216,20,Bangalore,Tablet,0,NetBanking,35,1305,0,0
T211,19356,0,Kolkata,Mobile,1,NetBanking,54,2808,1,0
T212,11794,8,Bangalore,Mobile,0,UPI,73,3607,0,0
T213,39324,20,Kolkata,Tablet,0,UPI,34,674,0,0
T214,63831,10,Delhi,Mobile,1,Card,6,3381,0,0
T215,8766,1,Delhi,Laptop,1,Card,42,1054,1,0
T216,70607,18,Delhi,Mobile,0,NetBanking,24,2090,0,0
T217,70935,5,Delhi,Mobile,0,UPI,32,4480,1,0
T218,94370,10,Kolkata,Mobile,0,Card,27,3220,0,0
T219,70580,19,Hyderabad,Laptop,0,NetBanking,19,3801,0,0
T220,25017,7,Bangalore,Tablet,0,NetBanking,0,1859,0,0
T221,42049,22,Kolkata,Mobile,0,UPI,55,822,0,0
T222,93601,16,Mumbai,Mobile,0,NetBanking,29,3595,0,0
T223,89206,17,Kolkata,Tablet,0,NetBanking,46,3157,0,0
T224,28965,21,Bangalore,Laptop,0,NetBanking,93,1046,0,0
T225,65255,0,Kolkata,Laptop,0,UPI,54,4995,1,0
T226,99885,18,Hyderabad,Laptop,0,NetBanking,96,154,0,0
T227,26499,17,Delhi,Mobile,1,UPI,7,932,0,0
T228,76634,2,Delhi,Laptop,0,NetBanking,58,427,1,0
T229,56473,14,Delhi,Laptop,0,Card,50,3775,0,0
T230,79211,1,Mumbai,Mobile,1,NetBanking,87,1411,1,1
T231,60635,13,Delhi,Laptop,1,NetBanking,67,264,0,0
T232,87025,22,Delhi,Laptop,1,Card,6,4525,0,0
T233,16132,22,Bangalore,Mobile,1,Card,18,1408,0,0
T234,31519,17,Kolkata,Laptop,1,NetBanking,46,3694,0,0
T235,15458,1,Mumbai,Tablet,0,NetBanking,11,1655,1,0
T236,14696,4,Delhi,Laptop,0,UPI,93,3677,1,0
T237,17871,23,Kolkata,Tablet,0,Card,29,2779,1,0
T238,67742,13,Kolkata,Mobile,0,Card,95,2868,0,0
T239,28629,18,Bangalore,Tablet,0,NetBanking,8,2699,0,0
T240,99708,6,Mumbai,Mobile,0,Card,21,2641,0,0
T241,56061,12,Bangalore,Tablet,0,Card,36,174,0,0
T242,56233,17,Hyderabad,Tablet,0,NetBanking,41,140,0,0
T243,31753,1,Delhi,Tablet,0,NetBanking,24,4783,1,0
T244,1722,20,Kolkata,Mobile,0,NetBanking,84,2174,0,0
T245,81282,5,Mumbai,Laptop,0,UPI,97,554,1,0
T246,93165,12,Delhi,Mobile,1,NetBanking,84,4897,0,0
T247,36497,1,Hyderabad,Tablet,0,Card,64,2966,1,0
T248,21272,3,Bangalore,Tablet,0,Card,28,248,1,0
T249,53102,7,Kolkata,Mobile,0,UPI,35,1236,0,0
T250,24862,6,Kolkata,Mobile,0,Card,53,4293,0,0
T251,53402,14,Kolkata,Laptop,1,NetBanking,21,1885,0,0
T252,74578,19,Kolkata,Mobile,0,UPI,80,4560,0,0
T253,38990,1,Hyderabad,Mobile,0,NetBanking,65,1624,1,0
T254,15148,7,Mumbai,Tablet,0,UPI,88,160,0,0
T255,74766,7,Kolkata,Tablet,0,UPI,38,4326,0,0
T256,28245,4,Hyderabad,Laptop,0,UPI,50,3649,1,0
T257,20681,1,Hyderabad,Mobile,0,Card,43,4190,1,0
T258,7060,16,Mumbai,Tablet,1,UPI,54,4207,0,0
T259,1441,15,Bangalore,Tablet,1,UPI,7,4162,0,0
T260,51960,16,Hyderabad,Laptop,0,NetBanking,79,809,0,0
T261,70955,17,Delhi,Laptop,0,Card,14,3742,0,0
T262,90700,12,Hyderabad,Tablet,0,Card,31,4973,0,0
T263,29811,6,Kolkata,Mobile,1,Card,25,3257,0,0
T264,94557,6,Bangalore,Tablet,0,UPI,6,4332,0,0
T265,11222,15,Mumbai,Mobile,0,Card,58,4922,0,0
T266,99904,17,Kolkata,Tablet,0,Card,38,3142,0,0
T267,37365,9,Bangalore,Mobile,0,UPI,13,1282,0,0
T268,52475,2,Mumbai,Laptop,0,UPI,44,230,1,0
T269,95502,7,Delhi,Mobile,0,Card,86,4559,0,0
T270,41098,14,Mumbai,Mobile,1,Card,3,1020,0,0
T271,7664,17,Mumbai,Tablet,0,Card,41,1231,0,0
T272,80865,1,Delhi,Tablet,0,UPI,41,645,1,0
T273,29530,12,Hyderabad,Laptop,0,NetBanking,31,3910,0,0
T274,96222,6,Delhi,Laptop,0,Card,28,2132,0,0
T275,62016,20,Mumbai,Mobile,0,NetBanking,15,3611,0,0
T276,83791,14,Bangalore,Laptop,0,NetBanking,29,1020,0,0
T277,24674,6,Mumbai,Laptop,0,UPI,64,3860,0,0
T278,2150,12,Delhi,Tablet,0,UPI,29,2133,0,0
T279,55719,17,Bangalore,Laptop,0,NetBanking,24,531,0,0
T280,90916,20,Delhi,Tablet,1,Card,72,4594,0,0
T281,80788,23,Delhi,Laptop,0,UPI,58,2141,1,0
T282,67464,4,Hyderabad,Tablet,0,NetBanking,69,906,1,0
T283,56738,13,Mumbai,Tablet,0,UPI,61,1968,0,0
T284,80197,6,Delhi,Tablet,1,UPI,58,984,0,0
T285,64854,12,Bangalore,Tablet,0,Card,97,924,0,0
T286,82956,16,Delhi,Mobile,1,NetBanking,5,1896,0,0
T287,73881,14,Mumbai,Tablet,0,UPI,8,3270,0,0
T288,62583,16,Mumbai,Mobile,0,Card,34,2837,0,0
T289,25525,16,Hyderabad,Mobile,0,NetBanking,31,4169,0,0
T290,54128,23,Delhi,Mobile,0,UPI,88,2476,1,0
T291,34801,4,Kolkata,Laptop,0,Card,55,2782,1,0
T292,97920,8,Hyderabad,Mobile,0,NetBanking,97,1455,0,0
T293,94477,8,Hyderabad,Mobile,0,Card,24,1518,0,0
T294,50206,1,Kolkata,Laptop,0,UPI,78,4233,1,0
T295,80299,4,Mumbai,Tablet,0,UPI,17,4649,1,0
T296,10003,12,Kolkata,Tablet,1,UPI,76,4788,0,0
T297,9616,18,Bangalore,Mobile,1,UPI,55,3211,0,0
T298,30661,7,Delhi,Mobile,0,NetBanking,32,1385,0,0
T299,86331,18,Hyderabad,Tablet,1,Card,91,1804,0,0
T300,33230,12,Delhi,Laptop,0,Card,41,4551,0,0
T301,86306,5,Mumbai,Tablet,0,Card,4,656,1,0
T302,74653,18,Bangalore,Mobile,1,Card,41,2819,0,0
T303,22990,20,Delhi,Laptop,0,UPI,30,2229,0,0
T304,18887,1,Bangalore,Mobile,1,Card,92,1647,1,0
T305,33162,1,Kolkata,Tablet,0,Card,45,1790,1,0
T306,66772,8,Delhi,Laptop,0,UPI,94,4895,0,0
T307,37411,23,Bangalore,Mobile,1,Card,69,2614,1,0
T308,47617,6,Bangalore,Tablet,0,UPI,95,4002,0,0
T309,1535,14,Mumbai,Mobile,1,UPI,92,377,0,0
T310,13607,19,Kolkata,Mobile,0,UPI,67,4926,0,0
T311,50292,11,Bangalore,Tablet,0,Card,9,985,0,0
T312,21053,23,Bangalore,Mobile,0,UPI,49,4899,1,0
T313,24960,11,Bangalore,Mobile,0,NetBanking,98,2528,0,0
T314,27183,6,Mumbai,Mobile,0,NetBanking,32,4099,0,0
T315,93206,10,Mumbai,Mobile,0,NetBanking,25,3653,0,0
T316,26129,1,Hyderabad,Mobile,1,UPI,80,138,1,0
T317,68978,22,Kolkata,Tablet,1,UPI,74,1923,0,0
T318,60645,14,Mumbai,Laptop,0,Card,21,3630,0,0
T319,22142,2,Delhi,Laptop,1,NetBanking,55,1088,1,0
T320,53368,14,Mumbai,Laptop,0,Card,58,4279,0,0
T321,49001,18,Hyderabad,Laptop,0,NetBanking,2,4765,0,0
T322,20082,1,Bangalore,Mobile,0,UPI,63,3156,1,0
T323,82811,11,Kolkata,Mobile,0,Card,79,3710,0,0
T324,21663,13,Mumbai,Laptop,0,Card,92,3480,0,0
T325,8811,14,Mumbai,Tablet,0,Card,49,4544,0,0
T326,82979,11,Bangalore,Laptop,0,UPI,59,4573,0,0
T327,52198,19,Mumbai,Laptop,0,UPI,24,2353,0,0
T328,11636,11,Hyderabad,Tablet,0,NetBanking,8,1116,0,0
T329,5209,20,Delhi,Tablet,0,UPI,87,683,0,0
T330,29859,12,Bangalore,Mobile,0,NetBanking,20,373,0,0
T331,26689,17,Delhi,Mobile,0,Card,94,265,0,0
T332,26243,10,Bangalore,Mobile,0,NetBanking,32,2143,0,0
T333,20681,8,Delhi,Laptop,0,NetBanking,85,3862,0,0
T334,46267,8,Kolkata,Mobile,0,Card,45,691,0,0
T335,95417,19,Hyderabad,Mobile,0,NetBanking,39,4437,0,0
T336,63583,0,Hyderabad,Laptop,0,NetBanking,32,4144,1,0
T337,83969,0,Delhi,Tablet,1,Card,25,1017,1,1
T338,52426,1,Kolkata,Tablet,1,NetBanking,89,1809,1,1
T339,75997,17,Delhi,Mobile,1,NetBanking,43,1995,0,0
T340,71726,2,Bangalore,Mobile,1,Card,8,3244,1,1
T341,26115,8,Kolkata,Tablet,0,NetBanking,7,4011,0,0
T342,26389,19,Kolkata,Laptop,0,NetBanking,6,558,0,0
T343,46263,15,Delhi,Laptop,0,NetBanking,57,121,0,0
T344,74237,2,Delhi,Laptop,0,NetBanking,59,4209,1,0
T345,15413,21,Kolkata,Laptop,0,UPI,11,3056,0,0
T346,1660,12,Bangalore,Tablet,0,UPI,18,3738,0,0
T347,52679,12,Delhi,Tablet,0,Card,52,4890,0,0
T348,92547,18,Hyderabad,Tablet,0,UPI,69,761,0,0
T349,37512,23,Delhi,Laptop,1,NetBanking,2,3071,1,0
T350,79661,18,Bangalore,Laptop,0,UPI,92,452,0,0
T351,30127,16,Mumbai,Tablet,1,NetBanking,30,2077,0,0
T352,1056,23,Mumbai,Laptop,0,Card,3,2879,1,0
T353,26063,19,Mumbai,Laptop,0,UPI,49,1812,0,0
T354,80918,8,Mumbai,Mobile,0,UPI,97,3911,0,0
T355,43685,14,Mumbai,Mobile,1,Card,5,4490,0,0
T356,12301,18,Mumbai,Tablet,0,Card,11,3814,0,0
T357,48464,17,Bangalore,Laptop,0,NetBanking,14,3014,0,0
T358,20075,3,Delhi,Mobile,1,Card,86,3469,1,0
T359,66161,13,Hyderabad,Mobile,0,UPI,36,4105,0,0
T360,4748,21,Hyderabad,Laptop,1,Card,13,4699,0,0
T361,35146,19,Kolkata,Tablet,0,Card,69,3316,0,0
T362,61372,1,Delhi,Tablet,1,UPI,4,2146,1,1
T363,13860,7,Hyderabad,Tablet,0,NetBanking,35,4496,0,0
T364,52333,2,Kolkata,Mobile,0,UPI,79,2093,1,0
T365,71360,9,Kolkata,Laptop,0,NetBanking,0,2460,0,0
T366,82595,21,Bangalore,Mobile,0,NetBanking,36,2834,0,0
T367,71752,11,Bangalore,Laptop,0,Card,43,2303,0,0
T368,83410,14,Kolkata,Laptop,0,NetBanking,60,2039,0,0
T369,20437,13,Mumbai,Laptop,0,UPI,36,1143,0,0
T370,381,0,Mumbai,Mobile,0,NetBanking,69,2632,1,0
T371,28504,4,Mumbai,Tablet,0,NetBanking,50,1329,1,0
T372,25711,9,Hyderabad,Tablet,0,NetBanking,87,225,0,0
T373,45372,17,Mumbai,Laptop,1,NetBanking,38,3349,0,0
T374,9210,11,Hyderabad,Laptop,0,Card,22,4503,0,0
T375,2069,9,Hyderabad,Mobile,0,Card,7,2133,0,0
T376,23296,5,Delhi,Laptop,1,Card,85,1298,1,0
T377,48420,22,Delhi,Laptop,1,Card,42,3585,0,0
T378,55509,17,Mumbai,Laptop,0,UPI,7,402,0,0
T379,97099,16,Mumbai,Laptop,0,NetBanking,71,4540,0,0
T380,54161,3,Mumbai,Mobile,0,Card,18,3224,1,0
T381,42387,4,Kolkata,Mobile,0,Card,61,3391,1,0
T382,69669,17,Bangalore,Tablet,0,Card,62,3332,0,0
T383,73484,15,Bangalore,Laptop,0,NetBanking,76,3330,0,0
T384,66124,10,Kolkata,Tablet,1,Card,3,1737,0,0
T385,4214,5,Mumbai,Mobile,1,UPI,12,1100,1,0
T386,25526,12,Kolkata,Tablet,1,NetBanking,87,921,0,0
T387,91836,20,Bangalore,Tablet,0,UPI,75,4189,0,0
T388,9208,18,Kolkata,Tablet,0,UPI,88,1540,0,0
T389,9027,16,Kolkata,Mobile,0,Card,89,3438,0,0
T390,76843,13,Mumbai,Mobile,0,Card,65,3089,0,0
T391,77676,2,Delhi,Tablet,0,UPI,71,2963,1,0
T392,92159,20,Hyderabad,Tablet,1,Card,24,111,0,0
T393,21736,1,Bangalore,Mobile,0,Card,78,3471,1,0
T394,46919,14,Delhi,Tablet,0,Card,86,2645,0,0
T395,27087,10,Mumbai,Laptop,0,Card,22,1114,0,0
T396,70067,14,Delhi,Mobile,0,NetBanking,14,814,0,0
T397,37014,14,Bangalore,Laptop,0,Card,12,4665,0,0
T398,37750,1,Hyderabad,Laptop,0,UPI,67,472,1,0
T399,93847,13,Delhi,Tablet,0,UPI,27,205,0,0
T400,54791,17,Mumbai,Laptop,0,Card,76,2237,0,0
T401,86465,10,Mumbai,Laptop,0,NetBanking,73,3754,0,0
T402,89122,23,Bangalore,Tablet,0,Card,60,135,1,0
T403,12249,6,Delhi,Tablet,1,Card,43,1808,0,0
T404,13773,14,Kolkata,Tablet,1,NetBanking,21,1400,0,0
T405,88889,8,Bangalore,Laptop,0,UPI,14,109,0,0
T406,76253,9,Delhi,Laptop,1,NetBanking,79,1172,0,0
T407,34184,3,Bangalore,Tablet,0,UPI,18,3783,1,0
T408,7327,6,Delhi,Tablet,0,UPI,17,3140,0,0
